Player name,Known as,player_id,position,nationality,team,Fifa 17 Potential rating,Fifa 17 overall_rating,Fifa 17 age,Fifa 18 overall_rating,Fifa 18 age,Fifa 19 overall_rating,Fifa 19 age,Fifa 20 overall_rating,Fifa 20 age,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age,Fifa 17 outcome,Year potential reached
Patrik Schick,P. Schick,234236,['ST'],Czech Republic,U.C. Sampdoria,83,72,20,77.0,21.0,77.0,22.0,76.0,23.0,78.0,24.0,79.0,25.0,still has time,
Odsonne Édouard,O. Edouard,233866,['RM'],France,Toulouse Football Club,83,67,18,70.0,19.0,72.0,20.0,74.0,21.0,75.0,22.0,75.0,23.0,still has time,
Kamada Daichi,D. Kamada,232730,"['CAM', 'CM']",Japan,Sagan Tosu,83,67,19,70.0,20.0,70.0,21.0,73.0,22.0,76.0,23.0,79.0,24.0,still has time,
Chidozie Collins Awaziem,C. Awaziem,232693,['CB'],Nigeria,FC Porto,83,72,19,71.0,20.0,74.0,21.0,74.0,22.0,73.0,23.0,72.0,24.0,still has time,
Caio Henrique Oliveira Silva,Caio Henrique,232440,['CAM'],Brazil,Atlético de Madrid,83,66,18,67.0,19.0,,,,,68.0,22.0,77.0,23.0,still has time,
Federico Ricca Rostagnol,F. Ricca,232437,['LB'],Uruguay,Málaga CF,83,75,21,74.0,22.0,74.0,23.0,75.0,24.0,73.0,25.0,73.0,26.0,did not hit their potential,
Caglar Soyuncu,Ç. Söyüncü,232119,['CB'],Turkey,Sport-Club Freiburg,83,69,20,74.0,21.0,75.0,22.0,74.0,23.0,80.0,24.0,80.0,25.0,still has time,
Mitchell van Bergen,M. van Bergen,231864,"['RW', 'LW']",Netherlands,Vitesse,83,63,16,64.0,17.0,64.0,18.0,70.0,19.0,74.0,20.0,73.0,21.0,still has time,
Miguel Angel Almiron Rejala,M. Almirón,230977,['CM'],Paraguay,Paraguay,83,75,22,79.0,23.0,80.0,24.0,80.0,25.0,78.0,26.0,77.0,27.0,did not hit their potential,
Mile Svilar,M. Svilar,230872,['GK'],Belgium,RSC Anderlecht,83,63,16,63.0,17.0,67.0,18.0,68.0,19.0,,,68.0,21.0,still has time,
King Manaj,R. Manaj,230800,['ST'],Albania,Pescara,83,67,19,67.0,20.0,67.0,21.0,70.0,22.0,69.0,23.0,69.0,24.0,still has time,
Assane Diousse El Hadji,A. Dioussé,230144,"['CDM', 'CM']",Senegal,Empoli,83,67,18,71.0,19.0,72.0,20.0,72.0,21.0,71.0,22.0,70.0,23.0,still has time,
Cesar Jasib Montes Castro,C. Montes,229980,['CB'],Mexico,CF Monterrey,83,73,19,74.0,20.0,73.0,21.0,73.0,22.0,75.0,23.0,75.0,24.0,still has time,
Gerson Santos da Silva,Gerson,229927,"['RM', 'CAM']",Brazil,Roma,83,67,19,67.0,20.0,73.0,21.0,,,,,80.0,24.0,still has time,
Stefano Sensi,S. Sensi,229857,"['CDM', 'CM']",Italy,U.S. Sassuolo Calcio,83,71,20,73.0,21.0,73.0,22.0,77.0,23.0,78.0,24.0,80.0,25.0,still has time,
Gaston Rodrigo Pereiro Lopez,G. Pereiro,229636,"['RW', 'LW']",Uruguay,PSV,83,75,21,76.0,22.0,76.0,23.0,77.0,24.0,75.0,25.0,73.0,26.0,did not hit their potential,
Dalbert Henrique Chagas Estevão,Dalbert,229148,"['LB', 'LM']",Brazil,OGC Nice,83,74,22,77.0,23.0,76.0,24.0,76.0,25.0,73.0,26.0,71.0,27.0,did not hit their potential,
Christian Rivera Hernandez,Christian Rivera,229038,"['CM', 'CDM']",Spain,SD Eibar,83,65,18,71.0,19.0,70.0,20.0,69.0,21.0,66.0,22.0,68.0,23.0,still has time,
Lorenzo Pellegrini,L. Pellegrini,228251,['CM'],Italy,U.S. Sassuolo Calcio,83,71,20,77.0,21.0,78.0,22.0,79.0,23.0,79.0,24.0,81.0,25.0,did not hit their potential,
Almamy Toure,A. Touré,227873,['RB'],Mali,AS Monaco,83,70,20,73.0,21.0,74.0,22.0,74.0,23.0,74.0,24.0,74.0,25.0,did not hit their potential,
Bart Ramselaar,B. Ramselaar,227633,"['CAM', 'CM']",Netherlands,PSV,83,74,20,76.0,21.0,75.0,22.0,73.0,23.0,71.0,24.0,72.0,25.0,did not hit their potential,
Lucas Simon Pierre Tousart,L. Tousart,227234,"['CM', 'CDM']",France,Olympique Lyonnais,83,67,19,78.0,20.0,79.0,21.0,78.0,22.0,76.0,23.0,76.0,24.0,did not hit their potential,
Gift of Wilfred Ndidi,O. Ndidi,226790,"['CDM', 'CB']",Nigeria,KRC Genk,83,72,19,77.0,20.0,80.0,21.0,81.0,22.0,84.0,23.0,85.0,24.0,exceeded their potential,4.0
