Player name,Known as,player_id,position,nationality,team,Fifa 11 Potential rating,Fifa 11 overall_rating,Fifa 11 age,Fifa 12 overall_rating,Fifa 12 age,Fifa 13 overall_rating,Fifa 13 age,Fifa 14 overall_rating,Fifa 14 age,Fifa 15 overall_rating,Fifa 15 age,Fifa 16 overall_rating,Fifa 16 age,Fifa 17 overall_rating,Fifa 17 age,Fifa 18 overall_rating,Fifa 18 age,Fifa 19 overall_rating,Fifa 19 age,Fifa 20 overall_rating,Fifa 20 age,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age
Scott Sinclair,S. Sinclair,169214,"['LW', 'RW', 'CF', 'ST']",England,Swansea City,84,72,21,74,22,75,23,75,24,72,25,74,26,75,27,77,28,75,29,74,30,72,31,72,32
Ivan Rakitic,I. Rakitić,168651,"['CM', 'CDM', 'LM', 'CAM']",Croatia,FC Schalke 04,84,78,22,79,23,77,24,81,25,83,26,84,27,87,28,87,29,87,30,86,31,82,32,82,33
Issiar Dia,I. Dia,168253,"['RF', 'CF', 'ST', 'CAM']",Senegal,Fenerbahçe SK,84,74,23,,,,,,,,,73,28,,,71,30,70,31,68,32,,,,
Fabrice Muamba,F. Muamba,167702,"['CDM', 'CM']",England,Bolton Wanderers,84,77,22,78,23,,,,,,,,,,,,,,,,,,,,
Steven Fletcher,S. Fletcher,164769,"['ST', 'CAM', 'LW', 'RW']",Scotland,Wolverhampton Wanderers,84,76,23,76,24,77,25,76,26,76,27,76,28,74,29,72,30,71,31,70,32,,,70,34
Ryan Babel,R. Babel,157301,"['LF', 'LW', 'ST', 'RW']",Netherlands,Liverpool,84,77,23,77,24,76,25,,,75,27,,,,,75,30,79,31,78,32,77,33,76,34
Chung Yong Lee,Lee Chung-Yong,155355,"['RW', 'CAM', 'RM']",Korea Republic,Bolton Wanderers,84,78,21,78,22,75,23,74,24,72,25,73,26,74,27,72,28,,,73,30,73,31,71,32
Sercan Yildirim,S. Yildirim,144368,['ST'],Turkey,Bursaspor,84,72,20,,,70,22,,,69,24,72,25,73,26,71,27,70,28,,,,,,
Joao Alves De Assis Silva,Jô,140384,"['ST', 'CF', 'CAM']",Brazil,Manchester City,84,75,23,74,24,75,25,79,26,,,,,,,,,76,31,77,32,,,,
Zoran Tosic,Z. Tošić,105454,"['LM', 'LW', 'CAM', 'RM']",Serbia,PFC CSKA Moscow,84,77,23,77,24,77,25,76,26,78,27,80,28,79,29,,,,,,,,,,
Roly Bonevacia,R. Bonevacia,200107,"['CDM', 'CM']",Netherlands,Ajax,83,66,18,65,19,,,66,21,64,22,66,23,72,24,70,25,70,26,70,27,,,,
Jerson Cabral,J. Cabral,199639,"['LW', 'LF', 'LM', 'ST']",Netherlands,Feyenoord,83,67,19,69,20,70,21,68,22,68,23,67,24,70,25,,,,,,,,,,
Jordy Clasie,J. Clasie,199422,"['CM', 'CDM', 'CAM', 'RM']",Netherlands,Excelsior,83,65,19,67,20,76,21,76,22,76,23,78,24,78,25,77,26,76,27,76,28,74,29,72,30
Sergio Alvarez Diaz,Sergio Álvarez,199158,"['CM', 'CDM']",Spain,Real Sporting de Gijón,83,61,18,66,19,64,20,62,21,62,22,73,23,77,24,77,25,76,26,75,27,75,28,75,29
Zakaria Labyad,Z. Labyad,198640,"['CAM', 'RM', 'CM']",Netherlands,PSV,83,65,17,70,18,76,19,75,20,74,21,75,22,74,23,75,24,77,25,75,26,75,27,75,28
Stefan De Vrij,S. de Vrij,198176,"['RB', 'CB']",Netherlands,Feyenoord,83,69,18,69,19,74,20,76,21,78,22,82,23,82,24,83,25,84,26,84,27,84,28,85,29
Leandro Bacuna,L. Bacuna,198133,"['CAM', 'RM', 'LM', 'CDM']",Netherlands,FC Groningen,83,68,18,71,19,71,20,69,21,67,22,73,23,73,24,72,25,69,26,69,27,68,28,68,29
Danny Mwanga,D. Mwanga,197875,['ST'],Congo DR,Philadelphia Union,83,65,18,66,19,63,20,63,21,61,22,62,23,,,,,,,,,,,,
Dedryck Boyata,D. Boyata,197837,"['CB', 'LB']",Belgium,Manchester City,83,71,19,71,20,71,21,70,22,68,23,73,24,71,25,72,26,74,27,76,28,77,29,78,30
